agency,carpark_id,address,lat,long,price,EV,price_weekend,weekdays_rate_1,weekdays_rate_2,saturday_rate,sunday_publicholiday_rate
LTA,Z35,Changi Airport T3 Car Park 3B,1.3590694655003346,103.98796293834144,$0.04/min,0,$0.04 per min,$0.04/min,$0.04/min,$0.04 per min,Same as Saturday
LTA,Z36,Changi Airport T3 Car Park 3A,1.3548122487338023,103.98530962069243,$0.04/min,1,$0.04 per min,$0.04/min,$0.04/min,$0.04 per min,Same as Saturday
LTA,Z37,Changi City Point,1.334113,103.9627137138492,7.01am-6pm: $0.70 per ½ hr or part thereof.,0,7.01am-5pm: $2.50 for 1st 2hrs or part thereof; $1.20 for sub. ½ hr or part thereof. 5.01pm-7am: $2.50 per entry,7.01am-6pm: $0.70 per ½ hr or part thereof.,6.01pm-7am: $2.50 per entry,7.01am-5pm: $2.50 for 1st 2hrs or part thereof; $1.20 for sub. ½ hr or part thereof. 5.01pm-7am: $2.50 per entry,Same as Saturday
LTA,Z38,Changi Village Hotel,1.3900384,103.9867854,8am-6pm: $2 for 1st hr; $1.50 for sub. hr,0,,8am-6pm: $2 for 1st hr; $1.50 for sub. hr,Aft 6pm: $5.35 per entry,Same as wkdays,Same as wkdays
LTA,Z39,City Plaza,1.3147175,103.89341430734515,8am-5pm: $1.10 for 1st hr; $0.70 for sub. ½ hr,1,,8am-5pm: $1.10 for 1st hr; $0.70 for sub. ½ hr,5pm-12am: $1.20 per entry; Aft 12am: $2.40 per entry,Same as wkdays,7am-12am: $1.20 per entry; Aft 12am: $2.40 per entry
LTA,Z40,D'Resort @ Downtown East,1.3799828,103.9550047,"Mon-Thu (excluding PH, Eve of PH & School Holiday) $0.024 per min; Max/day: $15 (Valid up to 12 midnight and not applicable for multiple entries).",0,"Fri-Sat (Including PH, Eve of PH & School Holiday) $0.024 per min; 5pm-12am: $5 per entry. Max/day: $19.","Mon-Thu (excluding PH, Eve of PH & School Holiday) $0.024 per min; Max/day: $15 (Valid up to 12 midnight and not applicable for multiple entries).","Mon-Thu (excluding PH, Eve of PH & School Holiday) $0.024 per min; Max/day: $15 (Valid up to 12 midnight and not applicable for multiple entries).","Fri-Sat (Including PH, Eve of PH & School Holiday) $0.024 per min; 5pm-12am: $5 per entry. Max/day: $19.",Same as Saturday
LTA,Z41,Downtown East,1.3773722,103.95464799890136,"Mon-Thu (excluding PH, Eve of PH & School Holiday) $0.024 per min; Max/day: $12.50 (Valid up to 12 midnight and not applicable for multiple entries).",0,"Fri-Sat (Including PH, Eve of PH & School Holiday) $0.024 per min; 5pm-12am: $3.40 per entry. Max/day: $16.","Mon-Thu (excluding PH, Eve of PH & School Holiday) $0.024 per min; Max/day: $12.50 (Valid up to 12 midnight and not applicable for multiple entries).","Mon-Thu (excluding PH, Eve of PH & School Holiday) 5pm-12am: $2.40 per entry. Max/day:$12.50; Fri: $3.40 per entry.","Fri-Sat (Including PH, Eve of PH & School Holiday) $0.024 per min; 5pm-12am: $3.40 per entry. Max/day: $16.",Same as Saturday
URA,E0023,East Coast Park E3,1.2953525,103.8953937775038,-,1,,-,-,-,
URA,E0024,East Coast Park E2,1.2953525,103.8953937775038,-,0,,-,-,-,
URA,E0027,East Coast Park E1,1.2953525,103.8953937775038,-,0,,-,-,-,
